Layer,Action,ResponseTime
API,Fetch Notes Before Delete,3.76
API,Get Notes API,1.29
API,Delete Note API,2.06
UI,API To UI Flow,0.26
UI,UI To API Flow,0.41
API,Create Note API,6.57
UI,Invalid Login Page,0.19
UI,Valid Login Page,0.21
UI,Missing Title Flow,0.21
UI,Empty Login Page,0.20
UI,Missing Description Flow,0.17
API,Get Notes API,1.37
API,Fetch Notes Before Delete,1.39
API,Delete Note API,1.27
API,Create Note API,1.52
UI,UI To API Flow,0.57
UI,API To UI Flow,0.37
UI,Invalid Login Page,0.39
UI,Missing Title Flow,0.33
UI,Valid Login Page,0.45
UI,Missing Description Flow,0.40
UI,Empty Login Page,0.27
API,Fetch Notes Before Delete,0.30
API,Get Notes API,0.36
API,Delete Note API,0.44
API,Create Note API,0.65
API,Fetch Notes Before Delete,4.01
API,Get Notes API,1.12
API,Delete Note API,5.73
API,Create Note API,4.46
API,Fetch Notes Before Delete,0.56
API,Get Notes API,0.33
API,Delete Note API,0.51
API,Create Note API,0.61
API,Get Notes API,0.31
API,Fetch Notes Before Delete,0.55
API,Delete Note API,1.74
API,Create Note API,0.82
UI,UI To API Flow,0.43
UI,API To UI Flow,0.35
UI,Valid Login Page,0.36
UI,Empty Login Page,0.31
UI,Invalid Login Page,0.31
UI,Missing Description Flow,0.29
UI,Missing Title Flow,0.34
API,Fetch Notes Before Delete,0.33
API,Get Notes API,0.55
API,Delete Note API,0.31
API,Create Note API,0.40
API,Get Notes API,0.59
API,Fetch Notes Before Delete,0.57
API,Create Note API,0.38
API,Delete Note API,0.65
UI,API To UI Flow,0.57
UI,UI To API Flow,0.27
UI,Valid Login Page,0.25
UI,Empty Login Page,0.37
UI,Invalid Login Page,0.42
UI,Missing Title Flow,0.30
UI,Missing Description Flow,0.25
API,Get Notes API,0.56
API,Create Note API,0.91
API,Fetch Notes Before Delete,0.60
API,Delete Note API,0.93
UI,UI To API Flow,0.24
UI,API To UI Flow,0.21
UI,Valid Login Page,0.32
UI,Invalid Login Page,0.21
UI,Empty Login Page,0.24
UI,Missing Title Flow,0.22
UI,Missing Description Flow,0.27
